0,1,2,3,4,5,6,7,8,9
300,300,300.0,154,446.0,300.0,300.0,300,300.0,300.0
300,300,300.0,300,300.0,600.0,300.0,200,100.0,300.0
223,77,600.0,300,300.0,300.0,300.0,300,300.0,300.0
300,365,235.0,300,300.0,300.0,300.0,300,300.0,300.0
300,300,300.0,300,300.0,300.0,235.0,365,300.0,300.0
300,300,300.0,300,300.0,300.0,600.0,300,51.0,249.0
300,300,23.0,577,300.0,300.0,300.0,300,300.0,300.0
300,300,300.0,300,300.0,317.0,283.0,300,300.0,300.0
300,600,300.0,300,296.0,304.0,300.0,300,300.0,
300,600,300.0,300,300.0,,300.0,300,300.0,300.0
300,300,300.0,300,300.0,,300.0,300,600.0,300.0
300,300,300.0,300,300.0,300.0,300.0,300,300.0,300.0
300,300,300.0,300,300.0,300.0,,300,600.0,300.0
300,300,300.0,300,,300.0,600.0,300,300.0,300.0
300,300,,300,300.0,300.0,300.0,300,600.0,300.0
300,300,300.0,300,300.0,300.0,300.0,300,,600.0
300,300,300.0,300,300.0,,600.0,300,300.0,300.0
300,300,600.0,300,300.0,300.0,300.0,300,,300.0
300,300,300.0,300,300.0,300.0,,300,600.0,300.0
300,600,300.0,300,300.0,300.0,,600,,300.0
